date,content
2021-10-14 07:16:38+00:00,Research shows Covid-19 impact  https://t.co/jaFS0z1mI1
2021-08-15 10:49:10+00:00,"Being a doctor is great and challenging. No more free weekends, calls, getting used to seeing deaths, wounds,blood, unsuccessful CPRs😭, getting Covid-19 daily 😂
#stillwelive #lifeofaMedicaldoctor https://t.co/29oTPgRGmz"
2021-07-14 18:26:23+00:00,"MHRC has since 2020 when Covid 19 cases were registered, advocated for the rights of PWDs to be included in the design, planning &amp; response towards recovering better in light of the Pandemic. MHRC is undertaking an investigation study to all PDOs to check on progress if at all. https://t.co/G9anFSmkuw"
2021-06-18 12:51:37+00:00,"Kutha ndiye kulipo

Covid or not komabe zativuta https://t.co/SEo18dlrKF"
2021-04-27 22:36:32+00:00,"Pa Malawi pali zinthu zokhazikisa bata zingapo

Tonse Alliance
MSCE results
6.2 Covid Funds Report

New on the list....

TNM Bundles https://t.co/qba4X8qot8"
2021-04-24 06:57:17+00:00,"Umo maluzi aluchitira ,nde udzidwalanso, zimadzamveka ngati 6.2 billion ya covid yozondosedwa ija inali yako munthu😎 https://t.co/lYBkj6bZQV"
2021-03-24 07:34:38+00:00,"Tiyeni tikabayise Katemela wa Covid-19!
Musaope, Moyo ñdi wekha @ Blantyre, Malawi https://t.co/TADmkOVDHM"
2021-03-18 12:18:12+00:00,"Now officially vacinated with AstraZeneca Covid-19 vaccine
#CovidVaccine #AstraZeneca"
2021-02-17 20:28:06+00:00,"Yesterday I wanted to write a whole thread koma ndine waulesi lol
Let's just say thank you Lord for the healing mercies on mines. The 3rd covid test came out negative. Past few weeks been hell eishhhh! https://t.co/IcRWQmXMNN"
2021-02-12 09:34:17+00:00,"We are donating our first batch of Covid Equipment worth some K22 million to QECH  as #CovidResponseFoundation this morning. Also, lugging an O2 canister leaves you winded, no matter how much you can deadlift. This battle won’t be won if we ALL do not #GetInvolved 🙏🏾🙏🏾 https://t.co/sS2sEESqpD"
2021-02-03 07:56:45+00:00,"#Day19of25Pushupchallenge fighting Covid-19 @ Blantyre, Malawi https://t.co/JHrJHwJJkc"
2021-02-02 06:02:25+00:00,"Day 18 of 25 Push Ups for 25 days of Fighting against Covid-19 @ Blantyre, Malawi https://t.co/5vzGxQCd8t"
2021-01-27 07:22:37+00:00,"Day 12 of fighting against Covid-19 @ Blantyre, Malawi https://t.co/teKK9rEZSX"
2021-01-26 07:29:15+00:00,"Day 11 of 25 day pUsh Up of fighting against Covid-19 @ Blantyre, Malawi https://t.co/VRxkmCyvuc"
2021-01-22 21:16:46+00:00,Remember to Mask Up! Covid-19 is real😷 https://t.co/awqAZZuKEW
2021-01-21 12:26:46+00:00,"I can imagine kuti kukhala head of an institution in this Covid Era is among 1000 ways to die. 

Pa CV ndithu izakhale in bold letters https://t.co/7JKAyMNUK2"
2021-01-19 05:21:48+00:00,"Day 6 of 25 day Push up, Fighting against Covid-19 @ Myuziki Pusha Entertainment https://t.co/xEFUeNJF5G"
2021-01-18 07:09:25+00:00,Together we can KNQR Covid-19 #WearAMask #StaySafe https://t.co/9vM7HXGRio
2021-01-14 05:30:56+00:00,"Day 4 of 25 Push Ups of staying for against Covid
#BeHealthy
#WearMask
#Washhands
#Sanitize @ Blantyre, Malawi https://t.co/otrBO7zwBC"
2021-01-12 08:04:33+00:00,Ready to test for Covid 😊 https://t.co/yphub3j8sC
2021-01-12 04:36:59+00:00,"Mwaiwathu Hospital now has a Covid - 19 Rapid test available @ only K15,000. Results within 2 hours. Certified!!!"
2021-01-07 07:27:46+00:00,"Got tested last night at Queens for COVID-19 and this morning the results came out positive. While taking all the necessary precautions, have to self isolate for 14 days. #StaySafe and #MaskUpMW https://t.co/P3OVsBaryt"
2020-09-17 17:07:50+00:00,"Covid vs Abortion vs DPP
The discussions very exciting https://t.co/5HPJ8rqFmR"
2020-09-02 07:57:03+00:00,We are at HAEST Lodge orienting Health Centre Advisory Committees (HAC) on Community Monitoring and Feedback Mechanisms on HIV and COVID-19 with support from viivhealthcare Positive Action Program @ Phalombe https://t.co/1B7gJx1CnJ
2020-08-14 07:26:09+00:00,"#COVID-19 AWARENESS @ Blantyre, Malawi https://t.co/TlPY3yjhG8"
2020-08-04 20:03:08+00:00,The District Youth Officer responding to issues raised by youth leaders on SRHR and COVID Response especially on inclusion of youth Programs in the response strategy. Powered by @FP2020Global unfoundation @ Phalombe… https://t.co/7Wltt3iNh6
2020-08-04 19:36:10+00:00,District DodMa Desk Officer responding to concerns raised by the youths on COVID Response District Strategy. She also assured that some of the interventions targeting the youths have been included through Social… https://t.co/0vPkqusgby
2020-08-04 18:34:26+00:00,"Moses Kathumba- Youth Champion and Executive Member of District Youth Network making a presentation on behalf of the youth leaders on youths SRHR needs, low youth participation in COVID response and what youths have… https://t.co/qJIlpEVAIE"
2020-07-14 16:00:32+00:00,Let's stay safe.. COVID is real @ Times Group https://t.co/x6ngYXV9tD
2020-07-09 07:07:44+00:00,Respectful maternity care within the Covid-19 pandemic and celebrating the International Year of the Midwife. #MalawiMidwives https://t.co/ZdUDI09EBT
